tome	session_id	organization	president	date
10	1	ASSEMBLÉE NATIONALE. 	 présidence de m. thouret. 	1789-11-12
10	2	ASSEMBLÉE NATIONALE. 	présidence de m. thouret. 	1789-11-13
10	3	ASSEMBLÉE NATIONALE.	présidence de m. thourët.	1789-11-14
10	4	ASSEMBLÉE NATIONALE.	présidence de m. thouret.	1789-11-16
10	5	ASSEMBLÉE NATIONALE.	PRÉSIDENCE DE M. THOURET. 	1789-11-17
10	6	ASSEMBLÉE NATIONALE.	PRÉSIDENCE DE M. THOURET.	1789-11-17
10	7	ASSEMBLÉE NATIONALE.	PRÉSIDENCË DE M. THOURET.	1789-11-18
10	8	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. TIIOURET.	1789-11-19
10	9	ASSEMBLÉE NATIONALE. 	présidence de m. thduret. 	1789-11-19
10	10	ASSEMBLÉE NATIONALE. 	présidence de m. thouret.	1789-11-20
10	11	ASSEMBLÉE NATIONALE. 	n/a	1789-11-21
10	12	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. THOURET. 	1789-11-21
10	13	ASSEMBLÉE NATIONALE.	ANNEXE	1789-10-23
10	14	ASSEMBLÉE NATIONALE.	 PRÉSIDENCE DE M, DE BOISGELIN, ARCHEVÊQUE D'AIX.	1789-11-24
10	15	ASSEMBLÉE NATIONALE. 	n/a	1789-11-24
10	16	ASSEMBLÉE NATIONALE. 	n/a	1789-11-25
10	17	ASSEMBLÉE NATIONALE. 	n/a	1789-11-26
10	18	ASSEMBLÉE NATIONALE.	PRÉSIDENCE DE M. DE BOISGELIN, ARCHEVÉQUE D'AIX.	1789-11-26
10	19	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. DE BOISGELIN, ARCHEVÊQUE D'AIX. 	1789-11-27
10	20	ASSEMBLÉE NATIONALE. 	présidence de m. de boisgelin, archevêque d'aix. 	1789-11-28
10	21	ASSEMBLÉE NATIONALE. 	PRÉSIDENCE DE M. DE BOISGEL1N, ARCHEVÊQUE D'AIX. 	1789-11-28
